'Time','ABP','PLETH','II'
'[23:07:27.272]',139.062,0.243,0.087
'[23:07:27.280]',137.500,0.243,0.094
'[23:07:27.288]',135.938,0.239,0.094
'[23:07:27.296]',134.375,0.239,0.094
'[23:07:27.304]',132.812,0.239,0.094
'[23:07:27.312]',130.469,0.239,0.094
'[23:07:27.320]',128.125,0.243,0.102
'[23:07:27.328]',125.000,0.247,0.102
'[23:07:27.336]',121.875,0.251,0.094
'[23:07:27.344]',118.750,0.263,0.094
'[23:07:27.352]',114.844,0.278,0.102
'[23:07:27.360]',111.719,0.298,0.094
'[23:07:27.368]',107.812,0.322,0.094
'[23:07:27.376]',105.469,0.349,0.094
'[23:07:27.384]',103.125,0.376,0.094
'[23:07:27.392]',100.781,0.404,0.094
'[23:07:27.400]',98.438,0.431,0.094
'[23:07:27.408]',96.875,0.455,0.094
'[23:07:27.416]',95.312,0.482,0.102
'[23:07:27.424]',93.750,0.510,0.094
'[23:07:27.432]',92.969,0.537,0.110
'[23:07:27.440]',91.406,0.565,0.102
'[23:07:27.448]',90.625,0.592,0.102
'[23:07:27.456]',89.844,0.620,0.118
'[23:07:27.464]',89.062,0.643,0.150
'[23:07:27.472]',88.281,0.667,0.165
'[23:07:27.480]',87.500,0.686,0.181
'[23:07:27.488]',86.719,0.702,0.205
'[23:07:27.496]',85.938,0.718,0.260
'[23:07:27.504]',85.938,0.729,0.283
'[23:07:27.512]',85.156,0.737,0.299
'[23:07:27.520]',84.375,0.745,0.260
'[23:07:27.528]',84.375,0.749,0.197
'[23:07:27.536]',83.594,0.753,0.150
'[23:07:27.544]',82.812,0.757,0.110
'[23:07:27.552]',82.812,0.757,0.087
'[23:07:27.560]',82.031,0.753,0.079
'[23:07:27.568]',82.031,0.749,0.079
'[23:07:27.576]',81.250,0.741,0.071
'[23:07:27.584]',80.469,0.733,0.079
'[23:07:27.592]',80.469,0.722,0.039
'[23:07:27.600]',79.688,0.710,0.094
'[23:07:27.608]',78.906,0.698,0.346
'[23:07:27.616]',78.125,0.682,0.803
'[23:07:27.624]',78.125,0.663,1.244
'[23:07:27.632]',77.344,0.643,1.260
'[23:07:27.640]',77.344,0.624,0.850
'[23:07:27.648]',76.562,0.604,0.402
'[23:07:27.656]',75.781,0.588,0.220
'[23:07:27.664]',75.781,0.569,0.110
'[23:07:27.672]',75.000,0.553,0.055
'[23:07:27.680]',74.219,0.533,0.039
'[23:07:27.688]',74.219,0.518,0.031
'[23:07:27.696]',73.438,0.506,0.039
'[23:07:27.704]',73.438,0.490,0.039
'[23:07:27.712]',72.656,0.482,0.039
'[23:07:27.720]',72.656,0.471,0.055
'[23:07:27.728]',71.875,0.459,0.063
'[23:07:27.736]',71.875,0.447,0.071
'[23:07:27.744]',71.094,0.435,0.079
'[23:07:27.752]',71.094,0.424,0.094
'[23:07:27.760]',70.312,0.416,0.094
'[23:07:27.768]',70.312,0.404,0.118
'[23:07:27.776]',69.531,0.396,0.126
'[23:07:27.784]',69.531,0.388,0.142
'[23:07:27.792]',68.750,0.380,0.150
'[23:07:27.800]',68.750,0.373,0.165
'[23:07:27.808]',67.969,0.373,0.173
'[23:07:27.816]',67.969,0.369,0.181
'[23:07:27.824]',67.188,0.361,0.189
'[23:07:27.832]',67.188,0.357,0.213
'[23:07:27.840]',67.188,0.349,0.228
'[23:07:27.848]',67.188,0.345,0.244
'[23:07:27.856]',68.750,0.341,0.260
'[23:07:27.864]',71.094,0.337,0.291
'[23:07:27.872]',75.000,0.329,0.307
'[23:07:27.880]',79.688,0.325,0.331
'[23:07:27.888]',84.375,0.322,0.354
'[23:07:27.896]',89.844,0.318,0.378
'[23:07:27.904]',94.531,0.314,0.394
'[23:07:27.912]',99.219,0.310,0.402
'[23:07:27.920]',103.906,0.306,0.417
'[23:07:27.928]',107.812,0.302,0.409
'[23:07:27.936]',111.719,0.302,0.386
'[23:07:27.944]',115.625,0.298,0.362
'[23:07:27.952]',120.312,0.294,0.307
'[23:07:27.960]',124.219,0.290,0.268
'[23:07:27.968]',128.125,0.286,0.236
'[23:07:27.976]',132.031,0.286,0.213
'[23:07:27.984]',134.375,0.282,0.189
'[23:07:27.992]',136.719,0.282,0.189
'[23:07:28.000]',139.062,0.278,0.181
'[23:07:28.008]',140.625,0.278,0.181
'[23:07:28.016]',141.406,0.278,0.165
'[23:07:28.024]',141.406,0.278,0.157
'[23:07:28.032]',141.406,0.275,0.165
'[23:07:28.040]',141.406,0.275,0.165
'[23:07:28.048]',140.625,0.271,0.165
'[23:07:28.056]',140.625,0.271,0.157
'[23:07:28.064]',139.844,0.267,0.157
'[23:07:28.072]',138.281,0.267,0.157
'[23:07:28.080]',136.719,0.267,0.165
'[23:07:28.088]',135.938,0.263,0.157
'[23:07:28.096]',133.594,0.263,0.165
'[23:07:28.104]',132.031,0.263,0.165
'[23:07:28.112]',129.688,0.263,0.165
'[23:07:28.120]',126.562,0.267,0.165
'[23:07:28.128]',123.438,0.275,0.165
'[23:07:28.136]',120.312,0.282,0.165
'[23:07:28.144]',116.406,0.298,0.165
'[23:07:28.152]',112.500,0.314,0.157
'[23:07:28.160]',109.375,0.337,0.150
'[23:07:28.168]',106.250,0.361,0.150
'[23:07:28.176]',103.906,0.388,0.150
'[23:07:28.184]',101.562,0.416,0.142
'[23:07:28.192]',99.219,0.443,0.142
'[23:07:28.200]',97.656,0.467,0.134
'[23:07:28.208]',96.094,0.490,0.134
'[23:07:28.216]',94.531,0.514,0.134
'[23:07:28.224]',92.969,0.537,0.134
'[23:07:28.232]',92.188,0.565,0.118
'[23:07:28.240]',90.625,0.592,0.118
'[23:07:28.248]',89.844,0.616,0.134
'[23:07:28.256]',89.062,0.639,0.165
'[23:07:28.264]',88.281,0.659,0.181
'[23:07:28.272]',87.500,0.678,0.189
'[23:07:28.280]',87.500,0.698,0.213
'[23:07:28.288]',86.719,0.710,0.268
'[23:07:28.296]',86.719,0.722,0.283
'[23:07:28.304]',85.938,0.729,0.283
'[23:07:28.312]',85.938,0.737,0.244
'[23:07:28.320]',85.156,0.741,0.181
'[23:07:28.328]',84.375,0.745,0.134
'[23:07:28.336]',83.594,0.749,0.094
'[23:07:28.344]',83.594,0.749,0.055
'[23:07:28.352]',82.812,0.749,0.047
'[23:07:28.360]',82.031,0.745,0.039
'[23:07:28.368]',82.031,0.741,0.039
'[23:07:28.376]',82.031,0.733,0.031
'[23:07:28.384]',81.250,0.722,-0.008
'[23:07:28.392]',80.469,0.710,0.039
'[23:07:28.400]',79.688,0.698,0.276
'[23:07:28.408]',78.906,0.682,0.724
'[23:07:28.416]',78.906,0.667,1.173
'[23:07:28.424]',78.125,0.651,1.197
'[23:07:28.432]',77.344,0.631,0.787
'[23:07:28.440]',76.562,0.608,0.331
'[23:07:28.448]',75.781,0.588,0.134
'[23:07:28.456]',75.781,0.576,0.016
'[23:07:28.464]',75.000,0.561,-0.039
'[23:07:28.472]',75.000,0.541,-0.063
'[23:07:28.480]',74.219,0.525,-0.071
'[23:07:28.488]',74.219,0.510,-0.071
'[23:07:28.496]',73.438,0.498,-0.071
'[23:07:28.504]',73.438,0.490,-0.071
'[23:07:28.512]',72.656,0.478,-0.071
'[23:07:28.520]',72.656,0.467,-0.071
'[23:07:28.528]',71.875,0.459,-0.071
'[23:07:28.536]',71.875,0.447,-0.063
'[23:07:28.544]',71.094,0.439,-0.047
'[23:07:28.552]',70.312,0.431,-0.047
'[23:07:28.560]',70.312,0.420,-0.031
'[23:07:28.568]',69.531,0.412,-0.024
'[23:07:28.576]',69.531,0.400,-0.016
'[23:07:28.584]',68.750,0.392,-0.008
'[23:07:28.592]',68.750,0.388,0.008
'[23:07:28.600]',67.969,0.384,0.008
'[23:07:28.608]',67.969,0.376,0.024
'[23:07:28.616]',67.188,0.373,0.031
'[23:07:28.624]',67.188,0.365,0.039
'[23:07:28.632]',67.188,0.361,0.055
'[23:07:28.640]',67.969,0.353,0.063
'[23:07:28.648]',68.750,0.349,0.079
'[23:07:28.656]',71.094,0.345,0.094
'[23:07:28.664]',75.000,0.341,0.118
'[23:07:28.672]',79.688,0.337,0.142
'[23:07:28.680]',84.375,0.329,0.165
'[23:07:28.688]',89.844,0.325,0.181
'[23:07:28.696]',94.531,0.325,0.189
'[23:07:28.704]',100.000,0.322,0.205
'[23:07:28.712]',103.906,0.318,0.205
'[23:07:28.720]',107.812,0.314,0.205
'[23:07:28.728]',112.500,0.306,0.181
'[23:07:28.736]',116.406,0.302,0.134
'[23:07:28.744]',120.312,0.298,0.094
'[23:07:28.752]',125.000,0.294,0.055
'[23:07:28.760]',128.906,0.290,0.008
'[23:07:28.768]',132.812,0.286,-0.016
'[23:07:28.776]',135.938,0.282,-0.031
'[23:07:28.784]',138.281,0.278,-0.047
'[23:07:28.792]',140.625,0.275,-0.063
'[23:07:28.800]',142.188,0.275,-0.063
'[23:07:28.808]',142.969,0.271,-0.063
'[23:07:28.816]',143.750,0.271,-0.063
'[23:07:28.824]',143.750,0.267,-0.071
'[23:07:28.832]',142.969,0.263,-0.071
'[23:07:28.840]',142.969,0.263,-0.071
'[23:07:28.848]',142.188,0.259,-0.071
'[23:07:28.856]',140.625,0.259,-0.071
'[23:07:28.864]',139.844,0.255,-0.071
'[23:07:28.872]',138.281,0.255,-0.071
'[23:07:28.880]',137.500,0.251,-0.063
'[23:07:28.888]',135.156,0.251,-0.063
'[23:07:28.896]',133.594,0.255,-0.071
'[23:07:28.904]',131.250,0.259,-0.063
'[23:07:28.912]',128.125,0.263,-0.063
'[23:07:28.920]',125.000,0.275,-0.063
'[23:07:28.928]',121.094,0.290,-0.063
'[23:07:28.936]',117.969,0.310,-0.063
'[23:07:28.944]',114.062,0.329,-0.063
'[23:07:28.952]',110.156,0.357,-0.063
'[23:07:28.960]',107.031,0.384,-0.071
'[23:07:28.968]',104.688,0.416,-0.071
'[23:07:28.976]',102.344,0.443,-0.071
'[23:07:28.984]',100.000,0.475,-0.071
'[23:07:28.992]',97.656,0.498,-0.071
'[23:07:29.000]',96.094,0.525,-0.071
'[23:07:29.008]',95.312,0.549,-0.071
'[23:07:29.016]',93.750,0.580,-0.079
'[23:07:29.024]',92.969,0.608,-0.087
'[23:07:29.032]',91.406,0.635,-0.087
'[23:07:29.040]',90.625,0.663,-0.087
'[23:07:29.048]',89.844,0.686,-0.087
'[23:07:29.056]',89.062,0.706,-0.079
'[23:07:29.064]',88.281,0.725,-0.047
'[23:07:29.072]',87.500,0.741,-0.031
'[23:07:29.080]',87.500,0.753,-0.024
'[23:07:29.088]',86.719,0.761,0.008
'[23:07:29.096]',85.938,0.765,0.063
'[23:07:29.104]',85.938,0.773,0.079
'[23:07:29.112]',85.156,0.773,0.087
'[23:07:29.120]',85.156,0.776,0.063
'[23:07:29.128]',84.375,0.776,0.000
'[23:07:29.136]',84.375,0.773,-0.047
'[23:07:29.144]',83.594,0.765,-0.094
'[23:07:29.152]',82.812,0.757,-0.126
'[23:07:29.160]',82.812,0.749,-0.134
'[23:07:29.168]',82.031,0.737,-0.142
'[23:07:29.176]',81.250,0.722,-0.142
'[23:07:29.184]',81.250,0.702,-0.142
'[23:07:29.192]',80.469,0.686,-0.181
'[23:07:29.200]',79.688,0.671,-0.134
'[23:07:29.208]',79.688,0.651,0.110
'[23:07:29.216]',78.906,0.631,0.583
'[23:07:29.224]',78.125,0.608,1.055
'[23:07:29.232]',78.125,0.588,1.079
'[23:07:29.240]',77.344,0.569,0.638
'[23:07:29.248]',77.344,0.549,0.181
'[23:07:29.256]',76.562,0.533,-0.008
'[23:07:29.264]',75.781,0.518,-0.126
'[23:07:29.272]',75.781,0.502,-0.173
'[23:07:29.280]',75.000,0.486,-0.189
'[23:07:29.288]',75.000,0.475,-0.189
'[23:07:29.296]',74.219,0.467,-0.197
'[23:07:29.304]',74.219,0.455,-0.189
'[23:07:29.312]',73.438,0.447,-0.189
'[23:07:29.320]',73.438,0.435,-0.173
'[23:07:29.328]',72.656,0.427,-0.165
'[23:07:29.336]',72.656,0.420,-0.165
'[23:07:29.344]',71.875,0.416,-0.150
'[23:07:29.352]',71.875,0.408,-0.142
'[23:07:29.360]',71.094,0.400,-0.134
'[23:07:29.368]',71.094,0.396,-0.118
'[23:07:29.376]',70.312,0.388,-0.102
'[23:07:29.384]',70.312,0.384,-0.094
'[23:07:29.392]',70.312,0.380,-0.087
'[23:07:29.400]',69.531,0.376,-0.071
'[23:07:29.408]',69.531,0.373,-0.063
'[23:07:29.416]',68.750,0.369,-0.047
'[23:07:29.424]',68.750,0.365,-0.039
'[23:07:29.432]',67.969,0.361,-0.024
'[23:07:29.440]',67.969,0.357,-0.008
'[23:07:29.448]',68.750,0.353,0.008
'[23:07:29.456]',69.531,0.349,0.031
'[23:07:29.464]',72.656,0.345,0.055
'[23:07:29.472]',76.562,0.341,0.087
'[23:07:29.480]',81.250,0.337,0.110
'[23:07:29.488]',85.938,0.333,0.134
'[23:07:29.496]',91.406,0.333,0.150
'[23:07:29.504]',96.094,0.329,0.165
'[23:07:29.512]',101.562,0.325,0.181
'[23:07:29.520]',106.250,0.322,0.189
'[23:07:29.528]',110.156,0.318,0.189
'[23:07:29.536]',114.062,0.314,0.165
'[23:07:29.544]',117.969,0.310,0.134
'[23:07:29.552]',122.656,0.306,0.079
'[23:07:29.560]',126.562,0.302,0.039
'[23:07:29.568]',131.250,0.298,-0.008
'[23:07:29.576]',134.375,0.294,-0.024
'[23:07:29.584]',137.500,0.290,-0.047
'[23:07:29.592]',140.625,0.290,-0.055
'[23:07:29.600]',142.188,0.286,-0.063
'[23:07:29.608]',142.969,0.282,-0.071
'[23:07:29.616]',143.750,0.282,-0.063
'[23:07:29.624]',144.531,0.278,-0.071
'[23:07:29.632]',144.531,0.275,-0.071
'[23:07:29.640]',143.750,0.271,-0.071
'[23:07:29.648]',143.750,0.271,-0.071
'[23:07:29.656]',142.969,0.267,-0.071
'[23:07:29.664]',142.188,0.263,-0.071
'[23:07:29.672]',141.406,0.259,-0.071
'[23:07:29.680]',139.844,0.259,-0.071
'[23:07:29.688]',138.281,0.259,-0.071
'[23:07:29.696]',137.500,0.259,-0.063
'[23:07:29.704]',135.156,0.259,-0.063
'[23:07:29.712]',132.812,0.259,-0.047
'[23:07:29.720]',130.469,0.267,-0.047
'[23:07:29.728]',127.344,0.278,-0.047
'[23:07:29.736]',124.219,0.290,-0.039
'[23:07:29.744]',120.312,0.310,-0.047
'[23:07:29.752]',117.188,0.333,-0.031
'[23:07:29.760]',113.281,0.361,-0.031
'[23:07:29.768]',110.156,0.388,-0.031
'[23:07:29.776]',107.812,0.420,-0.031
'[23:07:29.784]',105.469,0.447,-0.031
'[23:07:29.792]',103.125,0.475,-0.031
'[23:07:29.800]',100.781,0.498,-0.031
'[23:07:29.808]',99.219,0.525,-0.031
'[23:07:29.816]',97.656,0.553,-0.024
'[23:07:29.824]',96.094,0.580,-0.031
'[23:07:29.832]',95.312,0.612,-0.024
'[23:07:29.840]',93.750,0.631,-0.024
'[23:07:29.848]',92.969,0.647,-0.024
'[23:07:29.856]',92.188,0.667,-0.008
'[23:07:29.864]',91.406,0.682,0.024
'[23:07:29.872]',90.625,0.698,0.047
'[23:07:29.880]',89.844,0.714,0.055
'[23:07:29.888]',89.062,0.725,0.087
'[23:07:29.896]',89.062,0.729,0.142
'[23:07:29.904]',88.281,0.737,0.165
'[23:07:29.912]',87.500,0.741,0.181
'[23:07:29.920]',87.500,0.745,0.150
'[23:07:29.928]',86.719,0.749,0.087
'[23:07:29.936]',86.719,0.749,0.039
'[23:07:29.944]',85.938,0.749,-0.008
'[23:07:29.952]',85.156,0.745,-0.031
'[23:07:29.960]',85.156,0.737,-0.039
'[23:07:29.968]',84.375,0.729,-0.039
'[23:07:29.976]',83.594,0.718,-0.047
'[23:07:29.984]',82.812,0.706,-0.039
'[23:07:29.992]',82.812,0.694,-0.087
'[23:07:30.000]',82.031,0.678,-0.016
'[23:07:30.008]',81.250,0.663,0.260
'[23:07:30.016]',81.250,0.643,0.756
'[23:07:30.024]',80.469,0.627,1.213
'[23:07:30.032]',79.688,0.608,1.118
'[23:07:30.040]',78.906,0.588,0.724
'[23:07:30.048]',78.125,0.569,0.276
'[23:07:30.056]',78.125,0.549,0.087
'[23:07:30.064]',77.344,0.533,-0.016
'[23:07:30.072]',76.562,0.518,-0.063
'[23:07:30.080]',76.562,0.502,-0.079
'[23:07:30.088]',75.781,0.490,-0.087
'[23:07:30.096]',75.000,0.478,-0.079
'[23:07:30.104]',75.000,0.467,-0.071
'[23:07:30.112]',74.219,0.455,-0.063
'[23:07:30.120]',74.219,0.443,-0.055
'[23:07:30.128]',74.219,0.435,-0.047
'[23:07:30.136]',73.438,0.424,-0.047
'[23:07:30.144]',73.438,0.416,-0.031
'[23:07:30.152]',72.656,0.408,-0.016
'[23:07:30.160]',71.875,0.404,-0.008
'[23:07:30.168]',71.875,0.396,0.000
'[23:07:30.176]',71.094,0.388,0.008
'[23:07:30.184]',71.094,0.384,0.024
'[23:07:30.192]',70.312,0.380,0.039
'[23:07:30.200]',70.312,0.376,0.047
'[23:07:30.208]',70.312,0.373,0.063
'[23:07:30.216]',69.531,0.369,0.071
'[23:07:30.224]',68.750,0.365,0.087
'[23:07:30.232]',68.750,0.357,0.102
'[23:07:30.240]',68.750,0.353,0.118
'[23:07:30.248]',68.750,0.349,0.142
'[23:07:30.256]',70.312,0.345,0.165
'[23:07:30.264]',73.438,0.341,0.189
'[23:07:30.272]',77.344,0.337,0.220
'[23:07:30.280]',82.031,0.333,0.244
'[23:07:30.288]',87.500,0.333,0.276
'[23:07:30.296]',92.188,0.329,0.299
'[23:07:30.304]',97.656,0.325,0.315
'[23:07:30.312]',102.344,0.322,0.331
'[23:07:30.320]',106.250,0.322,0.331
'[23:07:30.328]',110.938,0.318,0.339
'[23:07:30.336]',114.844,0.314,0.315
'[23:07:30.344]',119.531,0.310,0.268
'[23:07:30.352]',123.438,0.306,0.220
'[23:07:30.360]',128.125,0.302,0.189
'[23:07:30.368]',132.812,0.298,0.150
'[23:07:30.376]',136.719,0.294,0.118
'[23:07:30.384]',139.844,0.290,0.110
'[23:07:30.392]',142.969,0.290,0.094
'[23:07:30.400]',145.312,0.286,0.094
'[23:07:30.408]',146.875,0.282,0.094
'[23:07:30.416]',147.656,0.282,0.094
'[23:07:30.424]',147.656,0.278,0.094
'[23:07:30.432]',147.656,0.275,0.094
'[23:07:30.440]',146.875,0.271,0.094
'[23:07:30.448]',146.094,0.271,0.094
'[23:07:30.456]',146.094,0.267,0.094
'[23:07:30.464]',145.312,0.267,0.094
'[23:07:30.472]',143.750,0.263,0.094
'[23:07:30.480]',142.969,0.259,0.094
'[23:07:30.488]',141.406,0.259,0.094
'[23:07:30.496]',139.844,0.259,0.110
'[23:07:30.504]',138.281,0.263,0.110
'[23:07:30.512]',135.938,0.263,0.118
'[23:07:30.520]',132.812,0.271,0.126
'[23:07:30.528]',130.469,0.278,0.134
'[23:07:30.536]',126.562,0.294,0.134
'[23:07:30.544]',123.438,0.310,0.142
'[23:07:30.552]',119.531,0.333,0.142
'[23:07:30.560]',115.625,0.357,0.142
'[23:07:30.568]',112.500,0.384,0.142
'[23:07:30.576]',109.375,0.412,0.142
'[23:07:30.584]',106.250,0.435,0.142
'[23:07:30.592]',103.906,0.459,0.142
'[23:07:30.600]',101.562,0.482,0.142
'[23:07:30.608]',100.000,0.510,0.150
'[23:07:30.616]',98.438,0.537,0.150
'[23:07:30.624]',96.875,0.565,0.150
'[23:07:30.632]',95.312,0.588,0.150
'[23:07:30.640]',94.531,0.616,0.150
'[23:07:30.648]',93.750,0.639,0.150
'[23:07:30.656]',92.969,0.659,0.157
'[23:07:30.664]',91.406,0.678,0.165
'[23:07:30.672]',90.625,0.698,0.165
'[23:07:30.680]',90.625,0.710,0.181
'[23:07:30.688]',89.844,0.722,0.205
'[23:07:30.696]',89.062,0.725,0.236
'[23:07:30.704]',88.281,0.733,0.236
'[23:07:30.712]',87.500,0.737,0.260
'[23:07:30.720]',87.500,0.741,0.323
'[23:07:30.728]',86.719,0.745,0.354
'[23:07:30.736]',86.719,0.745,0.362
'[23:07:30.744]',85.938,0.745,0.346
'[23:07:30.752]',85.938,0.741,0.291
'[23:07:30.760]',85.156,0.737,0.236
'[23:07:30.768]',84.375,0.729,0.181
'[23:07:30.776]',83.594,0.722,0.150
'[23:07:30.784]',82.812,0.710,0.150
'[23:07:30.792]',82.812,0.698,0.142
'[23:07:30.800]',82.031,0.682,0.142
'[23:07:30.808]',81.250,0.667,0.142
'[23:07:30.816]',81.250,0.651,0.118
'[23:07:30.824]',80.469,0.631,0.110
'[23:07:30.832]',79.688,0.616,0.354
'[23:07:30.840]',79.688,0.596,0.772
'[23:07:30.848]',78.906,0.580,1.268
'[23:07:30.856]',78.125,0.561,1.339
'[23:07:30.864]',77.344,0.545,0.992
'[23:07:30.872]',77.344,0.529,0.504
'[23:07:30.880]',76.562,0.514,0.291
'[23:07:30.888]',75.781,0.502,0.165
'[23:07:30.896]',75.781,0.490,0.110
'[23:07:30.904]',75.000,0.475,0.087
'[23:07:30.912]',75.000,0.463,0.079
'[23:07:30.920]',74.219,0.451,0.079
'[23:07:30.928]',73.438,0.439,0.087
'[23:07:30.936]',73.438,0.431,0.094
'[23:07:30.944]',73.438,0.420,0.094
'[23:07:30.952]',72.656,0.408,0.094
'[23:07:30.960]',72.656,0.400,0.102
'[23:07:30.968]',71.875,0.392,0.110
'[23:07:30.976]',71.875,0.384,0.118
'[23:07:30.984]',71.094,0.376,0.134
'[23:07:30.992]',71.094,0.369,0.142
'[23:07:31.000]',70.312,0.365,0.150
'[23:07:31.008]',70.312,0.357,0.165
'[23:07:31.016]',69.531,0.353,0.165
'[23:07:31.024]',69.531,0.345,0.181
'[23:07:31.032]',69.531,0.341,0.189
'[23:07:31.040]',68.750,0.333,0.197
'[23:07:31.048]',68.750,0.329,0.213
'[23:07:31.056]',68.750,0.325,0.228
'[23:07:31.064]',67.969,0.318,0.236
'[23:07:31.072]',67.969,0.314,0.260
'[23:07:31.080]',69.531,0.310,0.276
'[23:07:31.088]',71.094,0.306,0.291
'[23:07:31.096]',75.000,0.302,0.307
'[23:07:31.104]',79.688,0.298,0.331
'[23:07:31.112]',84.375,0.298,0.362
'[23:07:31.120]',89.844,0.294,0.378
'[23:07:31.128]',94.531,0.290,0.386
'[23:07:31.136]',100.000,0.286,0.402
'[23:07:31.144]',104.688,0.282,0.417
'[23:07:31.152]',108.594,0.282,0.425
'[23:07:31.160]',112.500,0.278,0.402
'[23:07:31.168]',117.188,0.275,0.362
'[23:07:31.176]',121.094,0.275,0.315
'[23:07:31.184]',125.781,0.271,0.276
'[23:07:31.192]',129.688,0.271,0.236
'[23:07:31.200]',133.594,0.271,0.205
'[23:07:31.208]',136.719,0.271,0.189
'[23:07:31.216]',139.844,0.267,0.181
'[23:07:31.224]',141.406,0.267,0.165
'[23:07:31.232]',142.969,0.263,0.165
'[23:07:31.240]',143.750,0.263,0.157
'[23:07:31.248]',144.531,0.263,0.157
'[23:07:31.256]',144.531,0.259,0.150
'[23:07:31.264]',144.531,0.259,0.150
'[23:07:31.272]',144.531,0.259,0.150
'[23:07:31.280]',143.750,0.255,0.142
'[23:07:31.288]',142.969,0.255,0.142
'[23:07:31.296]',141.406,0.255,0.142
'[23:07:31.304]',140.625,0.255,0.150
'[23:07:31.312]',139.062,0.251,0.150
'[23:07:31.320]',136.719,0.251,0.150
'[23:07:31.328]',135.156,0.251,0.150
'[23:07:31.336]',132.031,0.255,0.150
'[23:07:31.344]',129.688,0.263,0.150
'[23:07:31.352]',126.562,0.271,0.150
'[23:07:31.360]',123.438,0.282,0.142
'[23:07:31.368]',119.531,0.302,0.142
'[23:07:31.376]',116.406,0.322,0.142
'[23:07:31.384]',112.500,0.341,0.142
'[23:07:31.392]',109.375,0.365,0.142
'[23:07:31.400]',106.250,0.388,0.134
'[23:07:31.408]',103.906,0.416,0.134
'[23:07:31.416]',101.562,0.443,0.134
'[23:07:31.424]',100.000,0.471,0.134
'[23:07:31.432]',98.438,0.498,0.134
'[23:07:31.440]',96.875,0.525,0.126
'[23:07:31.448]',95.312,0.553,0.126
'[23:07:31.456]',94.531,0.576,0.126
'[23:07:31.464]',92.969,0.600,0.118
'[23:07:31.472]',92.188,0.624,0.118
'[23:07:31.480]',91.406,0.643,0.118
'[23:07:31.488]',90.625,0.659,0.118
'[23:07:31.496]',89.844,0.671,0.118
'[23:07:31.504]',89.062,0.686,0.134
'[23:07:31.512]',88.281,0.694,0.165
'[23:07:31.520]',88.281,0.706,0.181
'[23:07:31.528]',87.500,0.714,0.189
'[23:07:31.536]',87.500,0.718,0.213
'[23:07:31.544]',86.719,0.722,0.276
'[23:07:31.552]',86.719,0.725,0.291
'[23:07:31.560]',85.938,0.725,0.307
'[23:07:31.568]',85.938,0.725,0.276
'[23:07:31.576]',85.156,0.722,0.220
'[23:07:31.584]',84.375,0.714,0.165
'[23:07:31.592]',84.375,0.706,0.126
'[23:07:31.600]',83.594,0.698,0.094
'[23:07:31.608]',82.812,0.686,0.071
'[23:07:31.616]',82.031,0.675,0.071
'[23:07:31.624]',81.250,0.663,0.071
'[23:07:31.632]',81.250,0.647,0.071
'[23:07:31.640]',80.469,0.627,0.039
'[23:07:31.648]',79.688,0.612,0.071
'[23:07:31.656]',78.906,0.592,0.291
'[23:07:31.664]',78.906,0.576,0.709
'[23:07:31.672]',78.125,0.557,1.181
'[23:07:31.680]',77.344,0.541,1.244
'[23:07:31.688]',77.344,0.525,0.882
'[23:07:31.696]',76.562,0.514,0.402
'[23:07:31.704]',76.562,0.502,0.205
'[23:07:31.712]',75.781,0.486,0.079
'[23:07:31.720]',75.000,0.475,0.016
'[23:07:31.728]',75.000,0.463,0.000
'[23:07:31.736]',74.219,0.451,-0.008
'[23:07:31.744]',74.219,0.439,-0.008
'[23:07:31.752]',73.438,0.431,-0.008
'[23:07:31.760]',73.438,0.420,-0.008
'[23:07:31.768]',72.656,0.412,0.000
'[23:07:31.776]',72.656,0.404,0.000
'[23:07:31.784]',71.875,0.396,0.008
'[23:07:31.792]',71.875,0.388,0.016
'[23:07:31.800]',71.094,0.384,0.024
'[23:07:31.808]',71.094,0.376,0.031
'[23:07:31.816]',71.094,0.369,0.039
'[23:07:31.824]',70.312,0.365,0.055
'[23:07:31.832]',69.531,0.357,0.063
'[23:07:31.840]',69.531,0.349,0.079
'[23:07:31.848]',68.750,0.345,0.087
'[23:07:31.856]',68.750,0.341,0.094
'[23:07:31.864]',67.969,0.333,0.110
'[23:07:31.872]',67.969,0.329,0.118
'[23:07:31.880]',67.969,0.325,0.134
'[23:07:31.888]',67.969,0.322,0.142
'[23:07:31.896]',68.750,0.318,0.165
'[23:07:31.904]',69.531,0.310,0.181
'[23:07:31.912]',71.094,0.306,0.197
'[23:07:31.920]',74.219,0.302,0.220
'[23:07:31.928]',78.125,0.298,0.244
'[23:07:31.936]',82.812,0.294,0.268
'[23:07:31.944]',88.281,0.290,0.291
'[23:07:31.952]',93.750,0.286,0.307
'[23:07:31.960]',99.219,0.286,0.315
'[23:07:31.968]',103.906,0.282,0.331
'[23:07:31.976]',108.594,0.278,0.323
'[23:07:31.984]',112.500,0.278,0.307
'[23:07:31.992]',115.625,0.278,0.268
'[23:07:32.000]',119.531,0.275,0.220
'[23:07:32.008]',123.438,0.275,0.181
'[23:07:32.016]',128.125,0.271,0.142
'[23:07:32.024]',132.031,0.271,0.118
'[23:07:32.032]',135.156,0.271,0.094
'[23:07:32.040]',138.281,0.271,0.094
'[23:07:32.048]',140.625,0.267,0.079
'[23:07:32.056]',142.969,0.267,0.071
'[23:07:32.064]',143.750,0.267,0.079
'[23:07:32.072]',143.750,0.263,0.079
