'Time','II','III','AVR','AVL','AVF','V','RESP','PLETH','ABP'
'[14:53:17.269]',-0.021,-,0.600,-,-,0.515,0.198,1.538,78.997
'[14:53:17.277]',-0.015,-,0.610,-,-,0.520,0.199,1.523,78.743
'[14:53:17.285]',0.024,-,0.570,-,-,0.510,0.201,1.508,78.673
'[14:53:17.293]',0.020,-,0.585,-,-,0.500,0.203,1.496,78.673
'[14:53:17.301]',0.060,-,0.545,-,-,0.505,0.204,1.485,78.743
'[14:53:17.309]',0.075,-,0.535,-,-,0.490,0.205,1.470,78.743
'[14:53:17.317]',0.060,-,0.560,-,-,0.495,0.207,1.454,78.673
'[14:53:17.325]',0.090,-,0.520,-,-,0.470,0.209,1.438,78.565
'[14:53:17.333]',0.070,-,0.550,-,-,0.450,0.211,1.423,78.495
'[14:53:17.341]',0.109,-,0.500,-,-,0.435,0.214,1.410,78.743
'[14:53:17.349]',0.065,-,0.545,-,-,0.420,0.216,1.395,79.810
'[14:53:17.357]',0.075,-,0.525,-,-,0.400,0.219,1.382,82.425
'[14:53:17.365]',0.020,-,0.570,-,-,0.405,0.221,1.373,87.308
'[14:53:17.373]',-0.000,-,0.560,-,-,0.385,0.223,1.367,94.940
'[14:53:17.381]',-0.045,-,0.620,-,-,0.400,0.225,1.361,104.794
'[14:53:17.389]',-0.035,-,0.605,-,-,0.390,0.226,1.355,115.994
'[14:53:17.397]',-0.095,-,0.650,-,-,0.405,0.227,1.352,127.054
'[14:53:17.405]',-0.086,-,0.635,-,-,0.400,0.228,1.351,136.616
'[14:53:17.413]',-0.130,-,0.675,-,-,0.405,0.229,1.348,143.860
'[14:53:17.421]',-0.115,-,0.650,-,-,0.400,0.229,1.344,148.178
'[14:53:17.429]',-0.146,-,0.685,-,-,0.415,0.229,1.339,149.429
'[14:53:17.437]',-0.120,-,0.660,-,-,0.405,0.228,1.334,147.994
'[14:53:17.445]',-0.146,-,0.690,-,-,0.420,0.227,1.329,144.362
'[14:53:17.453]',-0.120,-,0.655,-,-,0.410,0.226,1.325,139.613
'[14:53:17.461]',-0.146,-,0.685,-,-,0.420,0.224,1.317,134.368
'[14:53:17.469]',-0.120,-,0.655,-,-,0.410,0.223,1.306,129.117
'[14:53:17.477]',-0.140,-,0.680,-,-,0.420,0.221,1.296,124.057
'[14:53:17.485]',-0.115,-,0.650,-,-,0.415,0.218,1.285,119.130
'[14:53:17.493]',-0.130,-,0.675,-,-,0.420,0.215,1.278,114.425
'[14:53:17.501]',-0.135,-,0.660,-,-,0.410,0.210,1.273,110.063
'[14:53:17.509]',-0.115,-,0.655,-,-,0.405,0.206,1.265,106.114
'[14:53:17.517]',-0.135,-,0.680,-,-,0.410,0.201,1.256,102.749
'[14:53:17.525]',-0.115,-,0.655,-,-,0.405,0.196,1.246,99.867
'[14:53:17.533]',-0.135,-,0.685,-,-,0.415,0.192,1.237,97.302
'[14:53:17.541]',-0.100,-,0.655,-,-,0.405,0.187,1.227,95.117
'[14:53:17.549]',-0.130,-,0.680,-,-,0.400,0.182,1.218,93.486
'[14:53:17.557]',-0.106,-,0.655,-,-,0.395,0.178,1.213,92.984
'[14:53:17.565]',-0.126,-,0.680,-,-,0.400,0.173,1.211,93.689
'[14:53:17.573]',-0.110,-,0.650,-,-,0.385,0.169,1.210,95.302
'[14:53:17.581]',-0.135,-,0.675,-,-,0.390,0.165,1.209,97.479
'[14:53:17.589]',-0.115,-,0.655,-,-,0.380,0.161,1.209,99.867
'[14:53:17.597]',-0.140,-,0.680,-,-,0.385,0.158,1.210,102.184
'[14:53:17.605]',-0.115,-,0.655,-,-,0.375,0.154,1.211,104.248
'[14:53:17.613]',-0.135,-,0.680,-,-,0.380,0.151,1.211,105.797
'[14:53:17.621]',-0.115,-,0.660,-,-,0.370,0.148,1.218,106.863
'[14:53:17.629]',-0.140,-,0.685,-,-,0.380,0.146,1.237,107.314
'[14:53:17.637]',-0.120,-,0.660,-,-,0.370,0.144,1.276,107.251
'[14:53:17.645]',-0.135,-,0.690,-,-,0.380,0.142,1.341,106.610
'[14:53:17.653]',-0.115,-,0.660,-,-,0.370,0.140,1.435,105.613
'[14:53:17.661]',-0.135,-,0.685,-,-,0.380,0.138,1.559,104.362
'[14:53:17.669]',-0.115,-,0.660,-,-,0.370,0.137,1.709,103.003
'[14:53:17.677]',-0.140,-,0.690,-,-,0.370,0.136,1.876,101.613
'[14:53:17.685]',-0.160,-,0.685,-,-,0.345,0.135,2.050,100.368
'[14:53:17.693]',-0.196,-,0.715,-,-,0.335,0.135,2.197,99.302
'[14:53:17.701]',-0.205,-,0.720,-,-,0.330,0.135,2.321,98.298
'[14:53:17.709]',-0.180,-,0.690,-,-,0.335,0.135,2.442,97.549
'[14:53:17.717]',-0.186,-,0.695,-,-,0.325,0.134,2.545,96.940
'[14:53:17.725]',-0.110,-,0.630,-,-,0.310,0.134,2.625,96.368
'[14:53:17.733]',-0.090,-,0.650,-,-,0.320,0.134,2.674,95.937
'[14:53:17.741]',-0.075,-,0.620,-,-,0.315,0.134,2.697,95.435
'[14:53:17.749]',-0.100,-,0.670,-,-,0.360,0.133,2.695,94.984
'[14:53:17.757]',-0.090,-,0.650,-,-,0.355,0.133,2.675,94.552
'[14:53:17.765]',-0.120,-,0.675,-,-,0.360,0.133,2.641,94.121
'[14:53:17.773]',-0.095,-,0.650,-,-,0.355,0.133,2.594,93.689
'[14:53:17.781]',-0.110,-,0.675,-,-,0.360,0.133,2.539,93.302
'[14:53:17.789]',-0.075,-,0.645,-,-,0.350,0.134,2.476,92.870
'[14:53:17.797]',-0.100,-,0.665,-,-,0.360,0.134,2.415,92.438
'[14:53:17.805]',-0.075,-,0.640,-,-,0.345,0.134,2.354,91.987
'[14:53:17.813]',-0.095,-,0.665,-,-,0.360,0.135,2.286,91.556
'[14:53:17.821]',-0.070,-,0.635,-,-,0.345,0.135,2.219,91.124
'[14:53:17.829]',-0.086,-,0.655,-,-,0.360,0.135,2.156,90.667
'[14:53:17.837]',-0.055,-,0.630,-,-,0.355,0.136,2.099,90.235
'[14:53:17.845]',-0.075,-,0.645,-,-,0.355,0.136,2.051,89.803
'[14:53:17.853]',0.030,-,0.555,-,-,0.345,0.137,2.017,89.308
'[14:53:17.861]',0.370,-,0.355,-,-,0.170,0.138,1.997,88.737
'[14:53:17.869]',0.956,-,0.020,-,-,-0.500,0.139,1.990,88.241
'[14:53:17.877]',1.501,-,-0.276,-,-,-0.500,0.140,1.993,87.740
'[14:53:17.885]',1.501,-,-0.500,-,-,-0.500,0.141,2.001,87.238
'[14:53:17.893]',1.501,-,-0.466,-,-,-0.500,0.142,2.007,86.737
'[14:53:17.901]',1.220,-,-0.220,-,-,-0.500,0.143,2.013,86.241
'[14:53:17.909]',0.485,-,0.275,-,-,-0.346,0.145,2.021,85.873
'[14:53:17.917]',0.010,-,0.590,-,-,0.285,0.146,2.027,85.556
'[14:53:17.925]',-0.126,-,0.680,-,-,0.525,0.147,2.030,85.308
'[14:53:17.933]',-0.171,-,0.715,-,-,0.590,0.149,2.029,85.175
'[14:53:17.941]',-0.166,-,0.690,-,-,0.610,0.151,2.022,85.124
'[14:53:17.949]',-0.211,-,0.740,-,-,0.625,0.153,2.012,85.124
'[14:53:17.957]',-0.191,-,0.710,-,-,0.620,0.156,1.998,85.175
'[14:53:17.965]',-0.225,-,0.745,-,-,0.635,0.158,1.981,85.238
'[14:53:17.973]',-0.200,-,0.710,-,-,0.620,0.161,1.960,85.238
'[14:53:17.981]',-0.220,-,0.740,-,-,0.625,0.164,1.936,85.175
'[14:53:17.989]',-0.191,-,0.705,-,-,0.610,0.167,1.912,84.990
'[14:53:17.997]',-0.211,-,0.730,-,-,0.615,0.170,1.890,84.743
'[14:53:18.005]',-0.186,-,0.700,-,-,0.595,0.173,1.869,84.375
'[14:53:18.013]',-0.196,-,0.720,-,-,0.605,0.176,1.848,83.924
'[14:53:18.021]',-0.166,-,0.695,-,-,0.585,0.179,1.828,83.492
'[14:53:18.029]',-0.191,-,0.725,-,-,0.590,0.182,1.807,82.990
'[14:53:18.037]',-0.166,-,0.695,-,-,0.570,0.185,1.787,82.559
'[14:53:18.045]',-0.175,-,0.715,-,-,0.580,0.188,1.766,82.108
'[14:53:18.053]',-0.146,-,0.680,-,-,0.560,0.191,1.746,81.740
'[14:53:18.061]',-0.160,-,0.705,-,-,0.565,0.194,1.725,81.308
'[14:53:18.069]',-0.130,-,0.670,-,-,0.555,0.197,1.707,80.990
'[14:53:18.077]',-0.146,-,0.695,-,-,0.555,0.200,1.690,80.743
'[14:53:18.085]',-0.120,-,0.670,-,-,0.560,0.203,1.674,80.559
'[14:53:18.093]',-0.115,-,0.675,-,-,0.545,0.206,1.661,80.356
'[14:53:18.101]',-0.120,-,0.655,-,-,0.550,0.209,1.649,80.241
'[14:53:18.109]',-0.090,-,0.665,-,-,0.540,0.212,1.635,80.063
'[14:53:18.117]',-0.095,-,0.640,-,-,0.550,0.215,1.621,79.746
'[14:53:18.125]',-0.061,-,0.630,-,-,0.540,0.218,1.606,79.429
'[14:53:18.133]',-0.065,-,0.640,-,-,0.550,0.221,1.589,79.105
'[14:53:18.141]',-0.025,-,0.600,-,-,0.540,0.225,1.570,78.927
'[14:53:18.149]',0.004,-,0.610,-,-,0.545,0.229,1.548,78.813
'[14:53:18.157]',0.020,-,0.570,-,-,0.535,0.233,1.527,78.813
'[14:53:18.165]',0.030,-,0.590,-,-,0.525,0.237,1.509,78.743
'[14:53:18.173]',0.050,-,0.550,-,-,0.515,0.241,1.493,78.610
'[14:53:18.181]',0.040,-,0.565,-,-,0.510,0.245,1.476,78.425
'[14:53:18.189]',0.055,-,0.535,-,-,0.480,0.249,1.463,78.311
'[14:53:18.197]',0.044,-,0.560,-,-,0.470,0.253,1.455,78.495
'[14:53:18.205]',0.055,-,0.540,-,-,0.440,0.256,1.447,79.562
'[14:53:18.213]',0.020,-,0.575,-,-,0.430,0.259,1.438,82.108
'[14:53:18.221]',0.024,-,0.560,-,-,0.405,0.263,1.428,87.124
'[14:53:18.229]',-0.025,-,0.605,-,-,0.405,0.267,1.418,94.940
'[14:53:18.237]',-0.025,-,0.600,-,-,0.395,0.271,1.409,105.251
'[14:53:18.245]',-0.075,-,0.640,-,-,0.405,0.275,1.399,116.927
'[14:53:18.253]',-0.075,-,0.630,-,-,0.395,0.278,1.388,128.483
'[14:53:18.261]',-0.115,-,0.665,-,-,0.410,0.281,1.379,138.571
'[14:53:18.269]',-0.106,-,0.655,-,-,0.405,0.283,1.372,146.248
'[14:53:18.277]',-0.140,-,0.685,-,-,0.410,0.285,1.367,150.876
'[14:53:18.285]',-0.135,-,0.670,-,-,0.415,0.286,1.360,152.311
'[14:53:18.293]',-0.151,-,0.695,-,-,0.405,0.287,1.353,150.876
'[14:53:18.301]',-0.155,-,0.700,-,-,0.420,0.286,1.348,147.314
'[14:53:18.309]',-0.146,-,0.675,-,-,0.415,0.285,1.343,142.749
'[14:53:18.317]',-0.155,-,0.700,-,-,0.425,0.282,1.335,137.822
'[14:53:18.325]',-0.135,-,0.675,-,-,0.415,0.280,1.326,133.003
'[14:53:18.333]',-0.155,-,0.700,-,-,0.430,0.277,1.318,128.438
'[14:53:18.341]',-0.126,-,0.665,-,-,0.420,0.274,1.309,124.127
'[14:53:18.349]',-0.146,-,0.695,-,-,0.430,0.270,1.299,120.057
'[14:53:18.357]',-0.120,-,0.655,-,-,0.425,0.267,1.290,116.241
'[14:53:18.365]',-0.146,-,0.685,-,-,0.430,0.264,1.280,112.610
'[14:53:18.373]',-0.120,-,0.655,-,-,0.420,0.261,1.269,109.244
'[14:53:18.381]',-0.146,-,0.685,-,-,0.425,0.257,1.258,105.860
'[14:53:18.389]',-0.120,-,0.665,-,-,0.410,0.254,1.251,102.432
'[14:53:18.397]',-0.146,-,0.690,-,-,0.420,0.250,1.248,99.048
'[14:53:18.405]',-0.126,-,0.670,-,-,0.405,0.247,1.242,96.051
'[14:53:18.413]',-0.146,-,0.695,-,-,0.415,0.244,1.236,94.051
'[14:53:18.421]',-0.120,-,0.665,-,-,0.405,0.241,1.230,93.441
'[14:53:18.429]',-0.146,-,0.695,-,-,0.405,0.239,1.224,94.235
'[14:53:18.437]',-0.126,-,0.670,-,-,0.395,0.238,1.217,96.190
'[14:53:18.445]',-0.151,-,0.700,-,-,0.400,0.237,1.208,98.686
'[14:53:18.453]',-0.130,-,0.670,-,-,0.385,0.237,1.201,101.365
'[14:53:18.461]',-0.146,-,0.700,-,-,0.395,0.238,1.197,104.000
'[14:53:18.469]',-0.126,-,0.665,-,-,0.400,0.239,1.196,106.184
'[14:53:18.477]',-0.151,-,0.695,-,-,0.390,0.242,1.203,107.860
'[14:53:18.485]',-0.135,-,0.670,-,-,0.380,0.245,1.227,108.863
'[14:53:18.493]',-0.151,-,0.695,-,-,0.385,0.249,1.266,109.111
'[14:53:18.501]',-0.135,-,0.670,-,-,0.390,0.254,1.326,108.863
'[14:53:18.509]',-0.146,-,0.685,-,-,0.375,0.258,1.417,108.000
'[14:53:18.517]',-0.126,-,0.690,-,-,0.385,0.263,1.543,106.819
'[14:53:18.525]',-0.120,-,0.665,-,-,0.380,0.268,1.698,105.429
'[14:53:18.533]',-0.146,-,0.690,-,-,0.375,0.272,1.877,104.000
'[14:53:18.541]',-0.171,-,0.670,-,-,0.360,0.279,2.066,102.616
'[14:53:18.549]',-0.200,-,0.720,-,-,0.345,0.286,2.256,101.365
'[14:53:18.557]',-0.191,-,0.700,-,-,0.335,0.295,2.431,100.298
'[14:53:18.565]',-0.216,-,0.720,-,-,0.350,0.303,2.582,99.435
'[14:53:18.573]',-0.151,-,0.660,-,-,0.335,0.312,2.703,98.730
'[14:53:18.581]',-0.130,-,0.675,-,-,0.330,0.320,2.791,98.121
'[14:53:18.589]',-0.081,-,0.625,-,-,0.320,0.328,2.842,97.689
'[14:53:18.597]',-0.100,-,0.665,-,-,0.340,0.336,2.864,97.232
'[14:53:18.605]',-0.090,-,0.650,-,-,0.355,0.345,2.870,96.870
'[14:53:18.613]',-0.120,-,0.680,-,-,0.370,0.355,2.859,96.438
'[14:53:18.621]',-0.095,-,0.650,-,-,0.360,0.364,2.831,96.051
'[14:53:18.629]',-0.120,-,0.680,-,-,0.360,0.374,2.788,95.549
'[14:53:18.637]',-0.075,-,0.645,-,-,0.350,0.385,2.735,95.117
'[14:53:18.645]',-0.100,-,0.675,-,-,0.360,0.396,2.674,94.622
'[14:53:18.653]',-0.081,-,0.640,-,-,0.350,0.407,2.608,94.121
'[14:53:18.661]',-0.100,-,0.670,-,-,0.360,0.418,2.537,93.619
'[14:53:18.669]',-0.075,-,0.640,-,-,0.350,0.428,2.463,93.054
'[14:53:18.677]',-0.095,-,0.665,-,-,0.360,0.439,2.391,92.483
'[14:53:18.685]',-0.070,-,0.635,-,-,0.355,0.448,2.320,91.987
'[14:53:18.693]',-0.081,-,0.655,-,-,0.360,0.457,2.258,91.486
'[14:53:18.701]',-0.061,-,0.625,-,-,0.350,0.467,2.207,90.921
'[14:53:18.709]',-0.000,-,0.590,-,-,0.335,0.477,2.159,90.419
'[14:53:18.717]',0.350,-,0.365,-,-,0.175,0.487,2.119,89.917
'[14:53:18.725]',0.865,-,0.080,-,-,-0.476,0.498,2.090,89.422
'[14:53:18.733]',1.461,-,-0.240,-,-,-0.500,0.508,2.072,88.921
'[14:53:18.741]',1.501,-,-0.500,-,-,-0.500,0.518,2.066,88.489
'[14:53:18.749]',1.501,-,-0.496,-,-,-0.500,0.527,2.068,88.057
'[14:53:18.757]',1.276,-,-0.245,-,-,-0.500,0.537,2.076,87.625
'[14:53:18.765]',0.535,-,0.230,-,-,-0.415,0.547,2.087,87.308
'[14:53:18.773]',0.024,-,0.580,-,-,0.225,0.558,2.098,86.990
'[14:53:18.781]',-0.126,-,0.685,-,-,0.500,0.569,2.107,86.806
'[14:53:18.789]',-0.146,-,0.680,-,-,0.565,0.580,2.109,86.737
'[14:53:18.797]',-0.191,-,0.725,-,-,0.595,0.592,2.107,86.673
'[14:53:18.805]',-0.196,-,0.715,-,-,0.605,0.604,2.097,86.737
'[14:53:18.813]',-0.216,-,0.740,-,-,0.615,0.616,2.081,86.806
'[14:53:18.821]',-0.200,-,0.715,-,-,0.610,0.628,2.063,86.876
'[14:53:18.829]',-0.216,-,0.745,-,-,0.615,0.638,2.041,86.876
'[14:53:18.837]',-0.191,-,0.715,-,-,0.600,0.649,2.017,86.806
'[14:53:18.845]',-0.211,-,0.740,-,-,0.605,0.658,1.991,86.629
'[14:53:18.853]',-0.191,-,0.710,-,-,0.590,0.667,1.965,86.375
'[14:53:18.861]',-0.200,-,0.735,-,-,0.595,0.677,1.937,85.987
'[14:53:18.869]',-0.171,-,0.700,-,-,0.585,0.686,1.912,85.556
'[14:53:18.877]',-0.191,-,0.720,-,-,0.580,0.696,1.888,85.124
'[14:53:18.885]',-0.166,-,0.695,-,-,0.570,0.706,1.865,84.629
'[14:53:18.893]',-0.171,-,0.710,-,-,0.565,0.715,1.846,84.171
'[14:53:18.901]',-0.151,-,0.690,-,-,0.555,0.724,1.827,83.740
'[14:53:18.909]',-0.146,-,0.685,-,-,0.550,0.733,1.807,83.308
'[14:53:18.917]',-0.160,-,0.705,-,-,0.555,0.742,1.787,82.857
'[14:53:18.925]',-0.135,-,0.675,-,-,0.545,0.751,1.765,82.559
'[14:53:18.933]',-0.146,-,0.700,-,-,0.550,0.761,1.744,82.241
'[14:53:18.941]',-0.120,-,0.670,-,-,0.535,0.772,1.723,82.057
'[14:53:18.949]',-0.135,-,0.690,-,-,0.540,0.782,1.706,81.854
'[14:53:18.957]',-0.100,-,0.655,-,-,0.530,0.794,1.687,81.676
'[14:53:18.965]',-0.110,-,0.675,-,-,0.535,0.805,1.666,81.422
'[14:53:18.973]',-0.070,-,0.635,-,-,0.520,0.817,1.644,81.244
'[14:53:18.981]',-0.075,-,0.655,-,-,0.530,0.828,1.623,80.990
'[14:53:18.989]',-0.025,-,0.605,-,-,0.520,0.839,1.603,80.743
'[14:53:18.997]',-0.041,-,0.625,-,-,0.530,0.851,1.587,80.673
'[14:53:19.005]',0.015,-,0.580,-,-,0.510,0.861,1.571,80.673
'[14:53:19.013]',0.004,-,0.600,-,-,0.515,0.872,1.552,80.743
'[14:53:19.021]',0.044,-,0.555,-,-,0.500,0.883,1.535,80.857
'[14:53:19.029]',0.030,-,0.580,-,-,0.500,0.894,1.518,80.927
'[14:53:19.037]',0.060,-,0.550,-,-,0.480,0.906,1.503,80.990
'[14:53:19.045]',0.040,-,0.575,-,-,0.475,0.917,1.491,81.308
'[14:53:19.053]',0.055,-,0.540,-,-,0.445,0.927,1.477,82.057
'[14:53:19.061]',0.030,-,0.570,-,-,0.430,0.938,1.462,83.924
'[14:53:19.069]',0.040,-,0.555,-,-,0.405,0.947,1.448,87.740
'[14:53:19.077]',-0.000,-,0.590,-,-,0.400,0.957,1.435,94.305
'[14:53:19.085]',-0.010,-,0.580,-,-,0.380,0.967,1.423,103.683
'[14:53:19.093]',-0.055,-,0.625,-,-,0.385,0.976,1.414,115.175
'[14:53:19.101]',-0.070,-,0.630,-,-,0.390,0.986,1.408,127.441
'[14:53:19.109]',-0.100,-,0.655,-,-,0.380,0.996,1.399,138.749
'[14:53:19.117]',-0.115,-,0.670,-,-,0.400,0.998,1.389,147.994
'[14:53:19.125]',-0.135,-,0.655,-,-,0.390,1.000,1.380,154.241
'[14:53:19.133]',-0.146,-,0.690,-,-,0.400,1.000,1.372,157.194
'[14:53:19.141]',-0.135,-,0.665,-,-,0.395,1.000,1.367,156.946
'[14:53:19.149]',-0.160,-,0.700,-,-,0.405,1.000,1.361,154.197
'[14:53:19.157]',-0.146,-,0.675,-,-,0.395,1.000,1.354,149.994
'[14:53:19.165]',-0.166,-,0.700,-,-,0.405,1.000,1.344,145.314
'[14:53:19.173]',-0.146,-,0.670,-,-,0.400,1.000,1.335,140.749
'[14:53:19.181]',-0.166,-,0.700,-,-,0.405,1.000,1.326,136.432
'[14:53:19.189]',-0.135,-,0.665,-,-,0.400,1.000,1.318,132.552
'[14:53:19.197]',-0.151,-,0.695,-,-,0.410,1.000,1.314,128.984
'[14:53:19.205]',-0.130,-,0.670,-,-,0.405,1.000,1.308,125.733
'[14:53:19.213]',-0.146,-,0.690,-,-,0.410,1.000,1.300,122.737
'[14:53:19.221]',-0.126,-,0.660,-,-,0.400,1.000,1.289,119.670
'[14:53:19.229]',-0.146,-,0.695,-,-,0.410,1.000,1.276,116.495
'[14:53:19.237]',-0.120,-,0.660,-,-,0.405,1.000,1.262,113.060
'[14:53:19.245]',-0.151,-,0.695,-,-,0.415,1.000,1.249,109.498
'[14:53:19.253]',-0.126,-,0.665,-,-,0.405,1.000,1.239,106.044
'[14:53:19.261]',-0.140,-,0.690,-,-,0.405,1.000,1.232,103.117
'[14:53:19.269]',-0.126,-,0.665,-,-,0.395,1.000,1.225,101.295
'[14:53:19.277]',-0.146,-,0.695,-,-,0.405,1.000,1.219,100.756
'[14:53:19.285]',-0.130,-,0.665,-,-,0.390,1.000,1.213,101.505
'[14:53:19.293]',-0.126,-,0.685,-,-,0.395,1.000,1.210,103.117
'[14:53:19.301]',-0.146,-,0.690,-,-,0.380,1.000,1.208,105.251
'[14:53:19.309]',-0.126,-,0.670,-,-,0.380,1.000,1.205,107.498
'[14:53:19.317]',-0.151,-,0.695,-,-,0.370,1.000,1.202,109.613
'[14:53:19.325]',-0.130,-,0.665,-,-,0.375,1.000,1.203,111.359
'[14:53:19.333]',-0.151,-,0.690,-,-,0.380,1.000,1.217,112.610
'[14:53:19.341]',-0.126,-,0.665,-,-,0.365,1.000,1.253,113.244
'[14:53:19.349]',-0.151,-,0.695,-,-,0.380,1.000,1.316,113.314
'[14:53:19.357]',-0.130,-,0.670,-,-,0.360,0.998,1.412,112.813
'[14:53:19.365]',-0.146,-,0.695,-,-,0.375,0.997,1.540,111.860
'[14:53:19.373]',-0.120,-,0.665,-,-,0.360,0.995,1.696,110.610
'[14:53:19.381]',-0.140,-,0.690,-,-,0.365,0.993,1.876,109.314
'[14:53:19.389]',-0.120,-,0.665,-,-,0.345,0.992,2.040,108.063
'[14:53:19.397]',-0.180,-,0.710,-,-,0.340,0.992,2.194,106.863
'[14:53:19.405]',-0.191,-,0.700,-,-,0.325,0.991,2.360,105.797
'[14:53:19.413]',-0.211,-,0.720,-,-,0.320,0.990,2.520,104.863
'[14:53:19.421]',-0.186,-,0.680,-,-,0.325,0.990,2.660,104.114
'[14:53:19.429]',-0.171,-,0.685,-,-,0.320,0.990,2.773,103.498
'[14:53:19.437]',-0.106,-,0.630,-,-,0.300,0.991,2.857,102.933
'[14:53:19.445]',-0.095,-,0.650,-,-,0.310,0.992,2.912,102.502
'[14:53:19.453]',-0.081,-,0.630,-,-,0.320,0.993,2.940,101.937
'[14:53:19.461]',-0.110,-,0.670,-,-,0.355,0.994,2.948,101.365
'[14:53:19.469]',-0.095,-,0.650,-,-,0.360,0.995,2.938,100.686
'[14:53:19.477]',-0.115,-,0.675,-,-,0.350,0.995,2.916,99.937
'[14:53:19.485]',-0.086,-,0.645,-,-,0.360,0.996,2.881,99.117
'[14:53:19.493]',-0.100,-,0.665,-,-,0.350,0.996,2.839,98.368
'[14:53:19.501]',-0.086,-,0.645,-,-,0.360,0.996,2.794,97.619
'[14:53:19.509]',-0.081,-,0.660,-,-,0.345,0.996,2.739,96.870
'[14:53:19.517]',-0.095,-,0.665,-,-,0.355,0.997,2.676,96.235
'[14:53:19.525]',-0.075,-,0.640,-,-,0.345,0.997,2.610,95.549
'[14:53:19.533]',-0.095,-,0.660,-,-,0.360,0.997,2.540,94.940
'[14:53:19.541]',-0.061,-,0.630,-,-,0.345,0.997,2.470,94.368
'[14:53:19.549]',-0.075,-,0.645,-,-,0.355,0.997,2.408,93.803
'[14:53:19.557]',-0.050,-,0.620,-,-,0.335,0.996,2.351,93.302
'[14:53:19.565]',0.044,-,0.555,-,-,0.305,0.994,2.305,92.806
'[14:53:19.573]',0.445,-,0.310,-,-,0.075,0.993,2.270,92.305
'[14:53:19.581]',0.985,-,0.024,-,-,-0.500,0.989,2.245,91.733
'[14:53:19.589]',1.501,-,-0.321,-,-,-0.500,0.987,2.231,91.238
'[14:53:19.597]',1.501,-,-0.500,-,-,-0.500,0.982,2.223,90.737
'[14:53:19.605]',1.501,-,-0.500,-,-,-0.500,0.977,2.222,90.305
'[14:53:19.613]',1.305,-,-0.256,-,-,-0.500,0.971,2.225,89.917
'[14:53:19.621]',0.530,-,0.235,-,-,-0.366,0.964,2.229,89.625
'[14:53:19.629]',-0.010,-,0.610,-,-,0.270,0.957,2.232,89.371
'[14:53:19.637]',-0.110,-,0.655,-,-,0.505,0.950,2.232,89.168
'[14:53:19.645]',-0.186,-,0.720,-,-,0.575,0.943,2.225,89.054
'[14:53:19.653]',-0.191,-,0.700,-,-,0.590,0.935,2.216,89.054
'[14:53:19.661]',-0.220,-,0.740,-,-,0.600,0.927,2.206,89.054
'[14:53:19.669]',-0.211,-,0.720,-,-,0.595,0.919,2.191,89.054
'[14:53:19.677]',-0.231,-,0.745,-,-,0.605,0.910,2.166,89.054
'[14:53:19.685]',-0.211,-,0.725,-,-,0.600,0.902,2.144,89.054
'[14:53:19.693]',-0.225,-,0.740,-,-,0.600,0.893,2.127,88.921
'[14:53:19.701]',-0.196,-,0.710,-,-,0.590,0.885,2.107,88.737
'[14:53:19.709]',-0.191,-,0.705,-,-,0.590,0.877,2.082,88.419
'[14:53:19.717]',-0.211,-,0.730,-,-,0.580,0.870,2.057,87.987
'[14:53:19.725]',-0.191,-,0.700,-,-,0.575,0.862,2.032,87.422
'[14:53:19.733]',-0.205,-,0.720,-,-,0.580,0.855,2.010,86.876
'[14:53:19.741]',-0.180,-,0.695,-,-,0.570,0.848,1.984,86.305
'[14:53:19.749]',-0.196,-,0.720,-,-,0.575,0.841,1.958,85.740
'[14:53:19.757]',-0.166,-,0.685,-,-,0.555,0.833,1.932,85.175
'[14:53:19.765]',-0.186,-,0.715,-,-,0.560,0.826,1.904,84.673
'[14:53:19.773]',-0.155,-,0.680,-,-,0.545,0.818,1.876,84.171
'[14:53:19.781]',-0.166,-,0.700,-,-,0.555,0.811,1.848,83.810
'[14:53:19.789]',-0.135,-,0.670,-,-,0.545,0.804,1.826,83.492
'[14:53:19.797]',-0.146,-,0.685,-,-,0.545,0.798,1.806,83.244
'[14:53:19.805]',-0.110,-,0.655,-,-,0.535,0.792,1.786,83.060
'[14:53:19.813]',-0.120,-,0.675,-,-,0.545,0.786,1.764,82.857
'[14:53:19.821]',-0.090,-,0.640,-,-,0.530,0.780,1.742,82.673
'[14:53:19.829]',-0.100,-,0.660,-,-,0.545,0.774,1.720,82.425
'[14:53:19.837]',-0.055,-,0.625,-,-,0.535,0.768,1.699,82.108
'[14:53:19.845]',-0.065,-,0.640,-,-,0.545,0.762,1.675,81.924
'[14:53:19.853]',-0.021,-,0.595,-,-,0.535,0.757,1.653,81.810
'[14:53:19.861]',-0.025,-,0.615,-,-,0.545,0.752,1.630,81.810
'[14:53:19.869]',0.015,-,0.575,-,-,0.525,0.747,1.605,81.854
'[14:53:19.877]',0.004,-,0.595,-,-,0.520,0.742,1.583,81.924
'[14:53:19.885]',0.040,-,0.555,-,-,0.510,0.737,1.561,81.994
'[14:53:19.893]',0.024,-,0.575,-,-,0.500,0.731,1.545,81.994
'[14:53:19.901]',0.040,-,0.550,-,-,0.480,0.726,1.533,82.057
'[14:53:19.909]',0.044,-,0.570,-,-,0.465,0.721,1.519,82.559
'[14:53:19.917]',0.024,-,0.550,-,-,0.440,0.716,1.503,83.810
'[14:53:19.925]',0.035,-,0.545,-,-,0.420,0.710,1.491,86.737
