"'Time','I','II','AVR','V','RESP','PLETH','ABP'"
"'[16:46:35.816]',-,0.090,0.766,0.965,0.398,0.516,56.519"
"'[16:46:35.824]',-,0.100,0.750,0.969,0.398,0.512,56.519"
"'[16:46:35.832]',-,0.121,0.744,0.959,0.398,0.508,56.519"
"'[16:46:35.840]',-,0.121,0.734,0.965,0.397,0.504,56.910"
"'[16:46:35.848]',-,0.125,0.730,0.945,0.396,0.500,57.301"
"'[16:46:35.856]',-,0.131,0.725,0.936,0.394,0.495,58.279"
"'[16:46:35.864]',-,0.125,0.721,0.914,0.392,0.491,59.844"
"'[16:46:35.872]',-,0.135,0.721,0.910,0.390,0.487,61.799"
"'[16:46:35.880]',-,0.131,0.709,0.895,0.389,0.483,64.537"
"'[16:46:35.888]',-,0.145,0.699,0.885,0.387,0.478,67.471"
"'[16:46:35.896]',-,0.145,0.689,0.865,0.386,0.474,70.600"
"'[16:46:35.904]',-,0.160,0.676,0.859,0.385,0.471,73.924"
"'[16:46:35.912]',-,0.156,0.670,0.840,0.384,0.468,77.445"
"'[16:46:35.920]',-,0.145,0.680,0.830,0.383,0.466,81.160"
"'[16:46:35.928]',-,0.141,0.680,0.814,0.382,0.463,85.072"
"'[16:46:35.936]',-,0.125,0.686,0.820,0.381,0.460,89.179"
"'[16:46:35.944]',-,0.115,0.689,0.799,0.380,0.456,93.286"
"'[16:46:35.952]',-,0.096,0.695,0.811,0.379,0.453,96.610"
"'[16:46:35.960]',-,0.076,0.705,0.805,0.379,0.451,99.348"
"'[16:46:35.968]',-,0.061,0.721,0.811,0.378,0.450,101.304"
"'[16:46:35.976]',-,0.061,0.721,0.811,0.378,0.450,102.673"
"'[16:46:35.984]',-,0.064,0.721,0.814,0.377,0.451,103.846"
"'[16:46:35.992]',-,0.045,0.730,0.799,0.377,0.453,104.628"
"'[16:46:36.000]',-,0.041,0.730,0.799,0.376,0.455,105.215"
"'[16:46:36.008]',-,0.025,0.740,0.795,0.376,0.457,105.215"
"'[16:46:36.016]',-,0.025,0.740,0.799,0.375,0.457,104.824"
"'[16:46:36.024]',-,0.031,0.744,0.799,0.375,0.458,104.042"
"'[16:46:36.032]',-,0.035,0.734,0.795,0.374,0.459,103.064"
"'[16:46:36.040]',-,0.041,0.734,0.811,0.374,0.459,102.086"
"'[16:46:36.048]',-,0.051,0.730,0.805,0.374,0.460,100.717"
"'[16:46:36.056]',-,0.051,0.734,0.820,0.373,0.462,99.544"
"'[16:46:36.064]',-,0.055,0.725,0.811,0.372,0.464,98.175"
"'[16:46:36.072]',-,0.061,0.721,0.820,0.372,0.466,96.610"
"'[16:46:36.080]',-,0.064,0.715,0.814,0.370,0.468,95.046"
"'[16:46:36.088]',-,0.076,0.709,0.820,0.370,0.468,93.481"
"'[16:46:36.096]',-,0.076,0.705,0.811,0.369,0.469,91.721"
"'[16:46:36.104]',-,0.076,0.705,0.814,0.368,0.469,89.765"
"'[16:46:36.112]',-,0.076,0.695,0.805,0.367,0.469,87.614"
"'[16:46:36.120]',-,0.070,0.705,0.811,0.366,0.470,85.463"
"'[16:46:36.128]',-,0.055,0.715,0.795,0.364,0.473,82.921"
"'[16:46:36.136]',-,0.035,0.725,0.799,0.363,0.477,80.574"
"'[16:46:36.144]',-,0.025,0.734,0.795,0.362,0.481,78.227"
"'[16:46:36.152]',-,0.041,0.730,0.805,0.360,0.487,75.880"
"'[16:46:36.160]',-,0.041,0.734,0.795,0.359,0.492,73.533"
"'[16:46:36.168]',-,0.045,0.725,0.799,0.359,0.499,71.578"
"'[16:46:36.176]',-,0.041,0.734,0.799,0.358,0.507,70.013"
"'[16:46:36.184]',-,0.051,0.725,0.814,0.358,0.519,68.449"
"'[16:46:36.192]',-,0.051,0.730,0.820,0.357,0.534,67.275"
"'[16:46:36.200]',-,0.051,0.725,0.824,0.357,0.550,66.102"
"'[16:46:36.208]',-,0.051,0.734,0.830,0.356,0.569,65.319"
"'[16:46:36.216]',-,0.051,0.734,0.824,0.355,0.587,64.733"
"'[16:46:36.224]',-,0.041,0.730,0.840,0.354,0.606,64.342"
"'[16:46:36.232]',-,0.045,0.730,0.820,0.353,0.624,63.950"
"'[16:46:36.240]',-,0.045,0.730,0.824,0.352,0.639,63.755"
"'[16:46:36.248]',-,0.051,0.721,0.814,0.351,0.654,63.755"
"'[16:46:36.256]',-,0.051,0.725,0.820,0.351,0.668,63.950"
"'[16:46:36.264]',-,0.045,0.725,0.805,0.350,0.677,64.146"
"'[16:46:36.272]',-,0.041,0.725,0.811,0.349,0.684,64.537"
"'[16:46:36.280]',-,0.045,0.725,0.795,0.349,0.691,64.733"
"'[16:46:36.288]',-,0.031,0.721,0.799,0.347,0.698,65.124"
"'[16:46:36.296]',-,0.025,0.730,0.785,0.346,0.704,65.515"
"'[16:46:36.304]',-,0.020,0.734,0.779,0.345,0.708,65.906"
"'[16:46:36.312]',-,0.010,0.740,0.770,0.344,0.712,66.102"
"'[16:46:36.320]',-,0.016,0.740,0.779,0.343,0.714,66.493"
"'[16:46:36.328]',-,0.020,0.744,0.789,0.342,0.716,66.688"
"'[16:46:36.336]',-,0.041,0.734,0.814,0.341,0.717,66.884"
"'[16:46:36.344]',-,0.045,0.730,0.820,0.340,0.716,67.080"
"'[16:46:36.352]',-,0.045,0.734,0.830,0.339,0.714,67.080"
"'[16:46:36.360]',-,0.041,0.740,0.834,0.338,0.711,67.080"
"'[16:46:36.368]',-,0.051,0.744,0.844,0.338,0.706,67.080"
"'[16:46:36.376]',-,0.061,0.730,0.840,0.337,0.699,66.884"
"'[16:46:36.384]',-,0.070,0.725,0.844,0.336,0.693,66.688"
"'[16:46:36.392]',-,0.061,0.725,0.830,0.335,0.687,66.493"
"'[16:46:36.400]',-,0.064,0.721,0.834,0.333,0.679,66.297"
"'[16:46:36.408]',-,0.061,0.725,0.824,0.332,0.671,66.102"
"'[16:46:36.416]',-,0.055,0.725,0.830,0.330,0.661,65.711"
"'[16:46:36.424]',-,0.051,0.734,0.820,0.328,0.651,65.515"
"'[16:46:36.432]',-,0.064,0.734,0.834,0.326,0.640,65.124"
"'[16:46:36.440]',-,0.135,0.695,0.805,0.325,0.630,64.733"
"'[16:46:36.448]',-,0.426,0.500,0.625,0.324,0.621,64.342"
"'[16:46:36.456]',-,0.705,0.275,0.295,0.323,0.612,63.950"
"'[16:46:36.464]',-,0.545,0.230,0.121,0.323,0.605,63.364"
"'[16:46:36.472]',-,0.000,0.500,0.111,0.323,0.597,62.973"
"'[16:46:36.480]',-,-0.369,0.660,0.225,0.323,0.590,62.582"
"'[16:46:36.488]',-,-0.498,0.750,0.381,0.322,0.584,62.190"
"'[16:46:36.496]',-,-0.498,0.799,0.539,0.322,0.576,61.799"
"'[16:46:36.504]',-,-0.459,0.834,0.680,0.322,0.569,61.408"
"'[16:46:36.512]',-,-0.363,0.840,0.760,0.322,0.562,61.017"
"'[16:46:36.520]',-,-0.244,0.834,0.855,0.322,0.555,60.626"
"'[16:46:36.528]',-,-0.129,0.844,0.914,0.321,0.548,60.039"
"'[16:46:36.536]',-,-0.035,0.814,0.939,0.321,0.543,59.844"
"'[16:46:36.544]',-,0.010,0.789,0.936,0.322,0.539,59.452"
"'[16:46:36.552]',-,0.025,0.789,0.939,0.322,0.537,59.061"
"'[16:46:36.560]',-,0.025,0.795,0.930,0.323,0.536,58.866"
"'[16:46:36.568]',-,0.041,0.789,0.936,0.324,0.535,58.475"
"'[16:46:36.576]',-,0.051,0.789,0.930,0.325,0.533,58.279"
"'[16:46:36.584]',-,0.041,0.785,0.924,0.326,0.529,58.083"
"'[16:46:36.592]',-,0.025,0.795,0.914,0.326,0.525,57.692"
"'[16:46:36.600]',-,0.031,0.789,0.914,0.328,0.520,57.497"
"'[16:46:36.608]',-,0.031,0.799,0.914,0.328,0.516,57.106"
"'[16:46:36.616]',-,0.041,0.789,0.914,0.329,0.513,56.910"
"'[16:46:36.624]',-,0.045,0.789,0.924,0.329,0.510,56.910"
"'[16:46:36.632]',-,0.064,0.785,0.936,0.329,0.506,56.715"
"'[16:46:36.640]',-,0.070,0.779,0.949,0.328,0.503,56.519"
"'[16:46:36.648]',-,0.076,0.775,0.959,0.328,0.500,56.323"
"'[16:46:36.656]',-,0.086,0.770,0.959,0.328,0.496,56.128"
"'[16:46:36.664]',-,0.096,0.766,0.965,0.328,0.492,55.932"
"'[16:46:36.672]',-,0.111,0.760,0.969,0.327,0.488,55.932"
"'[16:46:36.680]',-,0.125,0.744,0.969,0.327,0.483,55.932"
"'[16:46:36.688]',-,0.135,0.740,0.975,0.327,0.478,55.932"
"'[16:46:36.696]',-,0.145,0.730,0.959,0.327,0.473,55.932"
"'[16:46:36.704]',-,0.145,0.730,0.955,0.326,0.468,56.323"
"'[16:46:36.712]',-,0.150,0.725,0.939,0.326,0.463,56.910"
"'[16:46:36.720]',-,0.156,0.721,0.930,0.325,0.459,57.692"
"'[16:46:36.728]',-,0.145,0.721,0.910,0.324,0.454,59.257"
"'[16:46:36.736]',-,0.150,0.715,0.895,0.322,0.447,61.213"
"'[16:46:36.744]',-,0.145,0.709,0.865,0.321,0.440,63.755"
"'[16:46:36.752]',-,0.145,0.705,0.850,0.319,0.433,66.493"
"'[16:46:36.760]',-,0.145,0.695,0.824,0.317,0.427,69.622"
"'[16:46:36.768]',-,0.156,0.689,0.824,0.315,0.422,72.947"
"'[16:46:36.776]',-,0.145,0.695,0.820,0.313,0.416,76.271"
"'[16:46:36.784]',-,0.145,0.689,0.824,0.311,0.411,79.987"
"'[16:46:36.792]',-,0.125,0.695,0.814,0.309,0.405,83.898"
"'[16:46:36.800]',-,0.121,0.695,0.824,0.306,0.400,88.005"
"'[16:46:36.808]',-,0.105,0.709,0.820,0.304,0.395,91.917"
"'[16:46:36.816]',-,0.105,0.709,0.824,0.302,0.390,95.632"
"'[16:46:36.824]',-,0.096,0.715,0.820,0.300,0.385,98.566"
"'[16:46:36.832]',-,0.096,0.705,0.820,0.298,0.380,100.717"
"'[16:46:36.840]',-,0.086,0.715,0.814,0.296,0.375,102.477"
"'[16:46:36.848]',-,0.080,0.709,0.811,0.294,0.371,103.846"
"'[16:46:36.856]',-,0.076,0.715,0.820,0.293,0.370,104.628"
"'[16:46:36.864]',-,0.076,0.715,0.814,0.293,0.370,104.824"
"'[16:46:36.872]',-,0.061,0.721,0.820,0.292,0.369,104.433"
"'[16:46:36.880]',-,0.051,0.725,0.799,0.292,0.368,103.651"
"'[16:46:36.888]',-,0.041,0.730,0.799,0.292,0.367,102.477"
"'[16:46:36.896]',-,0.041,0.734,0.789,0.292,0.367,101.304"
"'[16:46:36.904]',-,0.035,0.744,0.795,0.292,0.367,100.326"
"'[16:46:36.912]',-,0.035,0.744,0.785,0.292,0.367,98.957"
"'[16:46:36.920]',-,0.025,0.754,0.799,0.293,0.367,97.588"
"'[16:46:36.928]',-,0.025,0.750,0.795,0.293,0.367,95.828"
"'[16:46:36.936]',-,0.041,0.744,0.814,0.294,0.367,93.872"
"'[16:46:36.944]',-,0.041,0.744,0.820,0.295,0.367,92.112"
"'[16:46:36.952]',-,0.051,0.744,0.840,0.296,0.367,90.157"
"'[16:46:36.960]',-,0.051,0.740,0.840,0.297,0.367,88.005"
"'[16:46:36.968]',-,0.061,0.734,0.844,0.297,0.369,85.854"
"'[16:46:36.976]',-,0.064,0.725,0.844,0.298,0.372,83.507"
"'[16:46:36.984]',-,0.076,0.725,0.855,0.298,0.376,80.965"
"'[16:46:36.992]',-,0.070,0.725,0.844,0.299,0.379,78.227"
"'[16:46:37.000]',-,0.076,0.721,0.850,0.299,0.384,75.880"
"'[16:46:37.008]',-,0.076,0.721,0.840,0.299,0.390,73.533"
"'[16:46:37.016]',-,0.070,0.715,0.840,0.299,0.397,71.382"
"'[16:46:37.024]',-,0.061,0.721,0.824,0.299,0.407,69.622"
"'[16:46:37.032]',-,0.064,0.721,0.820,0.299,0.418,67.862"
"'[16:46:37.040]',-,0.051,0.725,0.820,0.298,0.433,66.493"
"'[16:46:37.048]',-,0.041,0.730,0.814,0.297,0.451,65.319"
"'[16:46:37.056]',-,0.020,0.744,0.795,0.296,0.465,64.342"
"'[16:46:37.064]',-,0.010,0.754,0.779,0.295,0.480,63.559"
"'[16:46:37.072]',-,0.006,0.760,0.779,0.295,0.501,62.973"
"'[16:46:37.080]',-,0.020,0.760,0.785,0.294,0.522,62.582"
"'[16:46:37.088]',-,0.020,0.760,0.799,0.293,0.536,62.386"
"'[16:46:37.096]',-,0.016,0.760,0.799,0.292,0.551,62.190"
"'[16:46:37.104]',-,0.025,0.754,0.814,0.290,0.567,62.386"
"'[16:46:37.112]',-,0.041,0.744,0.820,0.289,0.584,62.582"
"'[16:46:37.120]',-,0.051,0.744,0.830,0.287,0.599,62.777"
"'[16:46:37.128]',-,0.045,0.744,0.824,0.286,0.614,63.168"
"'[16:46:37.136]',-,0.051,0.744,0.834,0.284,0.628,63.559"
"'[16:46:37.144]',-,0.035,0.750,0.824,0.283,0.640,63.950"
"'[16:46:37.152]',-,0.041,0.744,0.834,0.282,0.651,64.342"
"'[16:46:37.160]',-,0.035,0.744,0.824,0.280,0.659,64.733"
"'[16:46:37.168]',-,0.051,0.734,0.834,0.279,0.664,65.124"
"'[16:46:37.176]',-,0.055,0.730,0.830,0.277,0.668,65.319"
"'[16:46:37.184]',-,0.064,0.725,0.840,0.275,0.670,65.515"
"'[16:46:37.192]',-,0.064,0.721,0.824,0.273,0.671,65.711"
"'[16:46:37.200]',-,0.070,0.721,0.830,0.271,0.670,65.906"
"'[16:46:37.208]',-,0.055,0.721,0.814,0.268,0.668,65.906"
"'[16:46:37.216]',-,0.064,0.721,0.820,0.266,0.665,65.906"
"'[16:46:37.224]',-,0.080,0.725,0.814,0.264,0.661,65.906"
"'[16:46:37.232]',-,0.230,0.625,0.754,0.262,0.657,65.711"
"'[16:46:37.240]',-,0.561,0.404,0.506,0.261,0.652,65.711"
"'[16:46:37.248]',-,0.730,0.230,0.211,0.259,0.647,65.515"
"'[16:46:37.256]',-,0.355,0.359,0.141,0.258,0.642,65.319"
"'[16:46:37.264]',-,-0.164,0.584,0.195,0.257,0.635,65.124"
"'[16:46:37.272]',-,-0.443,0.709,0.311,0.256,0.628,64.733"
"'[16:46:37.280]',-,-0.498,0.785,0.465,0.254,0.620,64.537"
"'[16:46:37.288]',-,-0.494,0.834,0.609,0.252,0.612,64.146"
"'[16:46:37.296]',-,-0.420,0.844,0.715,0.249,0.604,63.950"
"'[16:46:37.304]',-,-0.318,0.844,0.799,0.247,0.596,63.559"
"'[16:46:37.312]',-,-0.199,0.855,0.875,0.245,0.587,63.168"
"'[16:46:37.320]',-,-0.090,0.834,0.930,0.243,0.564,62.777"
"'[16:46:37.328]',-,-0.020,0.814,0.936,0.241,0.537,62.386"
"'[16:46:37.336]',-,0.010,0.805,0.955,0.240,0.520,61.995"
"'[16:46:37.344]',-,0.025,0.799,0.945,0.239,0.510,61.408"
"'[16:46:37.352]',-,0.035,0.795,0.949,0.239,0.504,61.017"
"'[16:46:37.360]',-,0.045,0.789,0.939,0.238,0.500,60.626"
"'[16:46:37.368]',-,0.051,0.785,0.949,0.238,0.498,60.235"
"'[16:46:37.376]',-,0.041,0.779,0.936,0.238,0.496,59.844"
"'[16:46:37.384]',-,0.051,0.766,0.945,0.238,0.494,59.452"
"'[16:46:37.392]',-,0.045,0.770,0.930,0.238,0.492,59.061"
"'[16:46:37.400]',-,0.051,0.775,0.936,0.239,0.491,58.670"
"'[16:46:37.408]',-,0.051,0.779,0.939,0.239,0.491,58.279"
"'[16:46:37.416]',-,0.064,0.779,0.955,0.239,0.491,58.083"
"'[16:46:37.424]',-,0.070,0.775,0.959,0.239,0.491,57.692"
"'[16:46:37.432]',-,0.070,0.779,0.955,0.240,0.490,57.497"
"'[16:46:37.440]',-,0.076,0.779,0.959,0.240,0.489,57.106"
"'[16:46:37.448]',-,0.096,0.766,0.959,0.240,0.487,56.910"
"'[16:46:37.456]',-,0.111,0.754,0.969,0.239,0.484,56.715"
"'[16:46:37.464]',-,0.121,0.744,0.965,0.239,0.481,56.519"
"'[16:46:37.472]',-,0.121,0.744,0.975,0.239,0.479,56.323"
"'[16:46:37.480]',-,0.135,0.734,0.959,0.238,0.476,56.323"
"'[16:46:37.488]',-,0.145,0.721,0.965,0.238,0.473,56.323"
"'[16:46:37.496]',-,0.160,0.721,0.955,0.238,0.469,56.519"
"'[16:46:37.504]',-,0.156,0.715,0.959,0.237,0.465,56.910"
"'[16:46:37.512]',-,0.156,0.709,0.939,0.236,0.462,57.497"
"'[16:46:37.520]',-,0.150,0.709,0.936,0.235,0.458,58.670"
"'[16:46:37.528]',-,0.160,0.695,0.924,0.234,0.455,60.235"
"'[16:46:37.536]',-,0.166,0.689,0.910,0.232,0.451,62.582"
"'[16:46:37.544]',-,0.156,0.680,0.869,0.230,0.447,65.124"
"'[16:46:37.552]',-,0.145,0.686,0.844,0.228,0.442,67.862"
"'[16:46:37.560]',-,0.135,0.680,0.811,0.226,0.438,70.991"
"'[16:46:37.568]',-,0.125,0.680,0.814,0.224,0.433,74.120"
"'[16:46:37.576]',-,0.115,0.689,0.805,0.222,0.428,77.445"
"'[16:46:37.584]',-,0.121,0.695,0.814,0.221,0.421,80.965"
"'[16:46:37.592]',-,0.105,0.695,0.795,0.220,0.414,84.681"
"'[16:46:37.600]',-,0.096,0.705,0.795,0.219,0.409,88.592"
"'[16:46:37.608]',-,0.076,0.721,0.795,0.219,0.403,91.917"
"'[16:46:37.616]',-,0.076,0.721,0.799,0.218,0.396,94.850"
"'[16:46:37.624]',-,0.076,0.721,0.795,0.218,0.391,97.001"
"'[16:46:37.632]',-,0.076,0.721,0.814,0.218,0.387,98.175"
"'[16:46:37.640]',-,0.070,0.721,0.820,0.217,0.384,98.957"
"'[16:46:37.648]',-,0.070,0.721,0.814,0.217,0.381,99.544"
"'[16:46:37.656]',-,0.061,0.721,0.820,0.218,0.379,99.935"
"'[16:46:37.664]',-,0.064,0.721,0.814,0.218,0.377,100.130"
"'[16:46:37.672]',-,0.064,0.721,0.820,0.219,0.375,100.130"
"'[16:46:37.680]',-,0.070,0.721,0.820,0.220,0.371,99.544"
"'[16:46:37.688]',-,0.064,0.721,0.824,0.221,0.369,98.566"
"'[16:46:37.696]',-,0.070,0.721,0.820,0.223,0.365,97.588"
"'[16:46:37.704]',-,0.070,0.721,0.834,0.224,0.361,96.415"
"'[16:46:37.712]',-,0.076,0.715,0.840,0.226,0.358,95.241"
"'[16:46:37.720]',-,0.061,0.721,0.855,0.228,0.356,94.263"
"'[16:46:37.728]',-,0.051,0.734,0.855,0.229,0.354,92.894"
"'[16:46:37.736]',-,0.035,0.744,0.865,0.230,0.353,91.330"
"'[16:46:37.744]',-,0.025,0.750,0.840,0.232,0.351,89.374"
"'[16:46:37.752]',-,0.025,0.744,0.830,0.233,0.350,87.223"
"'[16:46:37.760]',-,0.020,0.750,0.820,0.234,0.349,84.876"
"'[16:46:37.768]',-,0.025,0.750,0.820,0.236,0.350,82.334"
"'[16:46:37.776]',-,0.010,0.760,0.814,0.237,0.350,79.791"
"'[16:46:37.784]',-,0.010,0.760,0.820,0.239,0.351,77.445"
"'[16:46:37.792]',-,0.006,0.766,0.814,0.239,0.354,75.098"
"'[16:46:37.800]',-,0.025,0.754,0.820,0.241,0.358,72.751"
"'[16:46:37.808]',-,0.025,0.750,0.820,0.242,0.366,70.600"
"'[16:46:37.816]',-,0.031,0.744,0.820,0.243,0.374,68.840"
"'[16:46:37.824]',-,0.031,0.744,0.820,0.243,0.385,67.080"
"'[16:46:37.832]',-,0.031,0.744,0.820,0.244,0.397,65.711"
"'[16:46:37.840]',-,0.025,0.750,0.824,0.245,0.413,64.342"
"'[16:46:37.848]',-,0.031,0.744,0.820,0.245,0.427,63.364"
"'[16:46:37.856]',-,0.025,0.744,0.824,0.245,0.436,62.386"
"'[16:46:37.864]',-,0.035,0.744,0.820,0.246,0.447,61.799"
"'[16:46:37.872]',-,0.041,0.744,0.820,0.246,0.458,61.408"
"'[16:46:37.880]',-,0.035,0.734,0.824,0.246,0.473,61.213"
"'[16:46:37.888]',-,0.051,0.734,0.844,0.246,0.487,61.017"
"'[16:46:37.896]',-,0.111,0.709,0.865,0.246,0.500,61.017"
"'[16:46:37.904]',-,0.375,0.551,0.750,0.245,0.511,61.213"
"'[16:46:37.912]',-,0.699,0.305,0.439,0.244,0.521,61.408"
"'[16:46:37.920]',-,0.770,0.230,0.215,0.243,0.530,61.799"
"'[16:46:37.928]',-,0.170,0.430,0.170,0.242,0.537,62.190"
"'[16:46:37.936]',-,-0.270,0.619,0.246,0.241,0.543,62.386"
"'[16:46:37.944]',-,-0.484,0.730,0.359,0.239,0.549,62.777"
"'[16:46:37.952]',-,-0.498,0.795,0.506,0.239,0.554,62.973"
"'[16:46:37.960]',-,-0.488,0.834,0.625,0.238,0.558,63.364"
"'[16:46:37.968]',-,-0.404,0.844,0.725,0.238,0.562,63.755"
"'[16:46:37.976]',-,-0.289,0.850,0.799,0.237,0.565,63.950"
"'[16:46:37.984]',-,-0.170,0.844,0.879,0.237,0.568,64.146"
"'[16:46:37.992]',-,-0.074,0.824,0.910,0.236,0.569,64.146"
"'[16:46:38.000]',-,-0.020,0.805,0.930,0.236,0.570,64.146"
"'[16:46:38.008]',-,0.000,0.799,0.936,0.236,0.571,64.342"
"'[16:46:38.016]',-,0.016,0.795,0.945,0.235,0.570,64.342"
"'[16:46:38.024]',-,0.010,0.799,0.945,0.234,0.568,64.146"
"'[16:46:38.032]',-,0.020,0.795,0.949,0.233,0.565,64.146"
"'[16:46:38.040]',-,0.020,0.795,0.955,0.232,0.562,63.950"
"'[16:46:38.048]',-,0.025,0.789,0.965,0.231,0.559,63.755"
"'[16:46:38.056]',-,0.035,0.795,0.980,0.230,0.555,63.559"
"'[16:46:38.064]',-,0.041,0.789,0.990,0.228,0.551,63.364"
"'[16:46:38.072]',-,0.045,0.795,1.000,0.227,0.546,63.168"
"'[16:46:38.080]',-,0.051,0.789,0.990,0.225,0.542,62.973"
"'[16:46:38.088]',-,0.055,0.789,0.975,0.224,0.536,62.582"
"'[16:46:38.096]',-,0.045,0.795,0.965,0.222,0.529,62.190"
"'[16:46:38.104]',-,0.055,0.789,0.965,0.221,0.523,61.995"
"'[16:46:38.112]',-,0.064,0.785,0.959,0.220,0.518,61.604"
"'[16:46:38.120]',-,0.070,0.789,0.959,0.219,0.511,61.408"
"'[16:46:38.128]',-,0.076,0.775,0.955,0.218,0.505,61.017"
"'[16:46:38.136]',-,0.096,0.766,0.959,0.217,0.499,60.821"
"'[16:46:38.144]',-,0.115,0.750,0.949,0.216,0.493,60.430"
"'[16:46:38.152]',-,0.135,0.740,0.945,0.215,0.488,60.235"
"'[16:46:38.160]',-,0.141,0.725,0.936,0.214,0.484,60.039"
"'[16:46:38.168]',-,0.145,0.721,0.930,0.213,0.481,60.039"
"'[16:46:38.176]',-,0.150,0.715,0.920,0.213,0.477,60.430"
"'[16:46:38.184]',-,0.160,0.709,0.914,0.212,0.475,61.213"
"'[16:46:38.192]',-,0.160,0.695,0.904,0.212,0.475,62.386"
"'[16:46:38.200]',-,0.166,0.686,0.895,0.211,0.475,64.146"
"'[16:46:38.208]',-,0.160,0.686,0.875,0.211,0.477,66.297"
"'[16:46:38.216]',-,0.160,0.680,0.879,0.211,0.478,68.840"
"'[16:46:38.224]',-,0.150,0.686,0.875,0.211,0.477,71.382"
"'[16:46:38.232]',-,0.145,0.689,0.865,0.211,0.476,74.120"
"'[16:46:38.240]',-,0.121,0.695,0.840,0.211,0.475,77.054"
"'[16:46:38.248]',-,0.100,0.699,0.824,0.212,0.472,79.987"
"'[16:46:38.256]',-,0.076,0.715,0.811,0.212,0.469,83.116"
"'[16:46:38.264]',-,0.064,0.721,0.805,0.212,0.466,86.245"
"'[16:46:38.272]',-,0.051,0.725,0.820,0.214,0.463,89.374"
"'[16:46:38.280]',-,0.051,0.725,0.811,0.215,0.460,92.308"
"'[16:46:38.288]',-,0.041,0.734,0.814,0.218,0.457,95.046"
"'[16:46:38.296]',-,0.035,0.734,0.805,0.220,0.453,97.001"
"'[16:46:38.304]',-,0.031,0.744,0.814,0.222,0.449,98.761"
"'[16:46:38.312]',-,0.051,0.730,0.805,0.224,0.444,99.739"
"'[16:46:38.320]',-,0.051,0.730,0.814,0.225,0.439,100.522"
"'[16:46:38.328]',-,0.055,0.721,0.805,0.227,0.435,100.717"
"'[16:46:38.336]',-,0.051,0.725,0.820,0.229,0.432,100.717"
"'[16:46:38.344]',-,0.051,0.725,0.814,0.231,0.428,100.522"
"'[16:46:38.352]',-,0.051,0.730,0.824,0.234,0.423,99.935"
"'[16:46:38.360]',-,0.045,0.734,0.820,0.237,0.417,99.153"
"'[16:46:38.368]',-,0.045,0.730,0.840,0.239,0.413,97.979"
"'[16:46:38.376]',-,0.045,0.740,0.850,0.242,0.407,96.610"
"'[16:46:38.384]',-,0.051,0.734,0.865,0.244,0.401,95.046"
"'[16:46:38.392]',-,0.051,0.740,0.859,0.247,0.397,93.481"
"'[16:46:38.400]',-,0.051,0.740,0.850,0.250,0.393,91.721"
"'[16:46:38.408]',-,0.041,0.740,0.824,0.254,0.387,89.765"
"'[16:46:38.416]',-,0.041,0.744,0.824,0.257,0.384,87.810"
"'[16:46:38.424]',-,0.025,0.744,0.820,0.261,0.381,85.854"
"'[16:46:38.432]',-,0.031,0.744,0.824,0.264,0.379,83.703"
"'[16:46:38.440]',-,0.025,0.750,0.814,0.267,0.378,81.160"
"'[16:46:38.448]',-,0.025,0.744,0.814,0.270,0.378,78.814"
"'[16:46:38.456]',-,0.025,0.744,0.805,0.274,0.378,76.467"
"'[16:46:38.464]',-,0.020,0.750,0.805,0.276,0.380,74.120"
"'[16:46:38.472]',-,0.025,0.754,0.811,0.278,0.382,72.164"
"'[16:46:38.480]',-,0.031,0.744,0.799,0.280,0.387,70.404"
"'[16:46:38.488]',-,0.045,0.744,0.814,0.282,0.394,68.840"
"'[16:46:38.496]',-,0.045,0.740,0.811,0.283,0.403,67.471"
"'[16:46:38.504]',-,0.041,0.734,0.820,0.285,0.414,66.102"
"'[16:46:38.512]',-,0.041,0.740,0.805,0.287,0.426,65.124"
"'[16:46:38.520]',-,0.031,0.740,0.820,0.289,0.438,64.342"
"'[16:46:38.528]',-,0.031,0.744,0.820,0.291,0.450,63.755"
"'[16:46:38.536]',-,0.035,0.740,0.834,0.293,0.461,63.364"
"'[16:46:38.544]',-,0.045,0.734,0.840,0.295,0.472,62.973"
"'[16:46:38.552]',-,0.051,0.734,0.865,0.297,0.481,62.973"
"'[16:46:38.560]',-,0.055,0.725,0.844,0.299,0.492,62.973"
"'[16:46:38.568]',-,0.061,0.725,0.834,0.301,0.501,62.973"
"'[16:46:38.576]',-,0.055,0.734,0.824,0.302,0.512,63.168"
"'[16:46:38.584]',-,0.150,0.686,0.805,0.303,0.522,63.559"
"'[16:46:38.592]',-,0.430,0.500,0.619,0.304,0.532,63.755"
"'[16:46:38.600]',-,0.709,0.275,0.314,0.305,0.541,64.146"
"'[16:46:38.608]',-,0.555,0.240,0.141,0.306,0.547,64.342"
"'[16:46:38.616]',-,0.055,0.480,0.125,0.306,0.553,64.733"
"'[16:46:38.624]',-,-0.318,0.635,0.240,0.307,0.555,64.928"
"'[16:46:38.632]',-,-0.484,0.734,0.385,0.308,0.556,65.319"
"'[16:46:38.640]',-,-0.498,0.811,0.529,0.309,0.557,65.515"
"'[16:46:38.648]',-,-0.465,0.834,0.664,0.311,0.557,65.711"
"'[16:46:38.656]',-,-0.379,0.844,0.754,0.311,0.558,65.711"
"'[16:46:38.664]',-,-0.260,0.855,0.844,0.312,0.558,65.711"
